adult,budget,id,imdb_id,original_language,original_title,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,status,title,video,vote_average,vote_count,year,profit_margin,genres_list,production_companies_list,genres_count
False,4986,53565,tt0019422,en,Steamboat Willie,"Mickey Mouse, piloting a steamboat, delights his passenger, Minnie, by making musical instruments out of the menagerie on deck.",3.394625,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1928-11-18,0.0,8.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Steamboat Willie,False,7.4,76.0,1928.0,-1.0,['Animation'],"['Walt Disney Pictures', 'Celebrity Productions']",1
False,1250000,143,tt0020629,en,All Quiet on the Western Front,"A young soldier faces profound disillusionment in the soul-destroying horror of World War I. Together with several other young German soldiers, he experiences the horrors of war, such evil of which he had not conceived of when signing up to fight. They eventually become sad, tormented, and confused of their purpose.",15.235056,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1930-04-29,0.0,133.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'la', 'name': 'Latin'}]",Released,All Quiet on the Western Front,False,7.5,166.0,1930.0,-1.0,"['Drama', 'War']",['Universal Pictures'],2
False,1500000,901,tt0021749,en,City Lights,City Lights is the first silent film that Charlie Chaplin directed after he established himself with sound accompanied films. The film is about a penniless man who falls in love with a flower girl. The film was a great success and today is deemed a cult classic.,10.891524,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1931-01-30,19181.0,87.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,City Lights,False,8.2,444.0,1931.0,-0.9872126666666666,"['Comedy', 'Drama', 'Romance']",['Charles Chaplin Productions'],3
False,291000,3035,tt0021884,en,Frankenstein,Henry Frankenstein is a doctor who is trying to discover a way to make the dead walk. He succeeds and creates a monster that has to deal with living again.,8.091603,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1931-11-21,12000000.0,71.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Frankenstein,False,7.3,295.0,1931.0,40.23711340206186,"['Drama', 'Horror', 'Science Fiction']",['Universal Pictures'],3
False,700000,33680,tt0022958,en,Grand Hotel,"Guests at a posh Berlin hotel struggle through worry, scandal, and heartache.",11.118844,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1932-05-25,2594000.0,112.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Grand Hotel,False,6.5,67.0,1932.0,2.7057142857142855,"['Drama', 'Romance']",['Metro-Goldwyn-Mayer (MGM)'],2
False,50000,26860,tt0023694,en,White Zombie,"In Haiti, a wealthy landowner convinces a sorcerer to lure the American woman he has fallen for away from her fiance, only to have the madman decide to keep the woman for himself, as a zombie.",2.692891,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1932-08-04,0.0,67.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,White Zombie,False,5.9,52.0,1932.0,-1.0,['Horror'],['Victor & Edward Halperin Productions'],1
False,200000,1994,tt0023238,en,The Most Dangerous Game,"When legendary hunter Bob Rainsford is shipwrecked on the perilous reefs surrounding a mysterious island, he finds himself the guest of the reclusive and eccentric Count Zaroff. While he is very gracious at first, Zaroff eventually forces Rainsford and two other shipwreck survivors, brother and sister Eve and Martin Towbridge, to participate in a sadistic game of cat and mouse in which they are the prey and he is the hunter.",3.295206,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1932-09-16,0.0,63.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,The Most Dangerous Game,False,7.2,43.0,1932.0,-1.0,"['Adventure', 'Horror', 'Thriller']",['RKO Radio Pictures'],3
False,195845,29740,tt0023042,en,I Am a Fugitive from a Chain Gang,"Warner Bros.' hard-hitting chain-gang movie was a faithful adaptation of the similarly titled autobiography of Robert Elliot Burns. Paul Muni plays World War I veteran James Allen, whose plans of becoming a master architect evaporate in the cold light of economic realities. Times get really tough when he's falsely convicted of a crime and forced to work on a chain gang.",8.741855000000001,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1932-11-19,0.0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,I Am a Fugitive from a Chain Gang,False,7.4,47.0,1932.0,-1.0,"['Crime', 'Drama']",['Warner Bros.'],2
False,439000,3062,tt0024034,en,42nd Street,"A producer puts on what may be his last Broadway show, and at the last moment a chorus girl has to replace the star.",4.718154,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1933-02-02,2281000.0,89.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,42nd Street,False,6.1,38.0,1933.0,4.195899772209567,"['Music', 'Comedy', 'Romance']",['Warner Bros.'],3
False,15719,34463,tt0024660,en,Three Little Pigs,"The two pigs building houses of hay and sticks scoff at their brother, building the brick house. But when the wolf comes around and blows their houses down (after trickery like dressing as a foundling sheep fails), they run to their brother's house. And throughout, they sing the classic song, ""Who's Afraid of the Big Bad Wolf?"".",3.969019,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1933-05-27,0.0,8.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Three Little Pigs,False,6.8,75.0,1933.0,-1.0,['Animation'],"['Walt Disney Production', 'United Artists Pictures']",1
False,328000,10787,tt0024184,en,The Invisible Man,"Working in Dr. Cranley's laboratory, scientist Jack Griffin was always given the latitude to conduct somhe of his own experiments. His sudden departure, however, has Cranley's daughter Flora worried about him. Griffin has taken a room at the nearby Lion's Head Inn, hoping to reverse an experiment he conducted on himself that made him invisible. Unfortunately, the drug he used has also warped his mind, making him aggressive and dangerous. He's prepared to do whatever it takes to restore his appearance, and several will die in the process.",5.1929050000000005,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1933-11-13,0.0,71.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Invisible Man,False,7.3,151.0,1933.0,-1.0,"['Horror', 'Science Fiction']",['Universal Pictures'],2
False,250000,43149,tt0024593,en,The Son of Kong,Beleaguered adventurer Carl Denham returns to the island where he found King Kong.,1.771424,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1933-12-22,0.0,70.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,The Son of Kong,False,5.2,31.0,1933.0,-1.0,"['Adventure', 'Horror', 'Action', 'Science Fiction']",['RKO Radio Pictures'],4
False,325000,3078,tt0025316,en,It Happened One Night,"Ellie Andrews has just tied the knot with society aviator King Westley when she is whisked away to her father's yacht and out of King's clutches. Ellie jumps ship and eventually winds up on a bus headed back to her husband. Reluctantly she must accept the help of out-of- work reporter Peter Warne. Actually, Warne doesn't give her any choice: either she sticks with him until he gets her back to her husband, or he'll blow the whistle on Ellie to her father. Either way, Peter gets what he wants... a really juicy newspaper story!",6.465257,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1934-02-22,4500000.0,105.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It Happened One Night,False,7.7,283.0,1934.0,12.846153846153847,"['Comedy', 'Romance']",['Columbia Pictures Corporation'],2
False,95,18994,tt0025862,en,Tarzan and His Mate,"Harry Holt returns to Africa to head up a large ivory expedition. This time he brings his womanizing friend Marlin Arlington. Holt also harbors ideas about convincing Jane to return to London. When Holt and Arlington show Jane some of the modern clothes and perfumes they brought from civilization, she is impressed but not enough to return.",12.73076,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1934-04-20,0.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Tarzan and His Mate,False,6.1,38.0,1934.0,-1.0,"['Drama', 'Adventure', 'Action']",['Metro-Goldwyn-Mayer (MGM)'],3
False,226408,3529,tt0025878,en,The Thin Man,"After a four year absence, one time detective Nick Charles returns to New York with his new wife Nora and their dog, Asta. Nick re-connects with many of his old cronies, several of whom are eccentric characters, to say the least. He's also approached by Dorothy Wynant whose inventor father Clyde Wynant is suspected of murdering her step-mother. Her father had left on a planned trip some months before and she has had no contact with him. Nick isn't all that keen on resuming his former profession but egged-on by wife Nora, who thinks this all very exciting, he agrees to help out. He solves the case, announcing the identity of the killer at a dinner party for all of the suspects.",10.573867,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1934-05-25,1423000.0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Thin Man,False,7.4,97.0,1934.0,5.285113600226141,"['Comedy', 'Crime', 'Mystery']",['Metro-Goldwyn-Mayer (MGM)'],3
False,393750,229,tt0026138,en,Bride of Frankenstein,"Bride of Frankenstein begins where James Whale's Frankenstein from 1931 ended. Dr. Frankenstein has not been killed as previously portrayed and now he wants to get away from the mad experiments. Yet when his wife is kidnapped by his creation, Frankenstein agrees to help him create a new monster, this time a woman.",7.000417,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1935-04-21,0.0,75.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Bride of Frankenstein,False,7.4,208.0,1935.0,-1.0,"['Horror', 'Science Fiction']",['Universal Pictures'],2
False,609000,3080,tt0027125,en,Top Hat,"Showman Jerry Travers is working for producer Horace Hardwick in London. Jerry demonstrates his new dance steps late one night in Horace's hotel, much to the annoyance of sleeping Dale Tremont below. She goes upstairs to complain and the two are immediately attracted to each other. Complications arise when Dale mistakes Jerry for Horace.",7.122093,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1935-09-06,3202000.0,101.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,Top Hat,False,7.4,62.0,1935.0,4.257799671592775,"['Comedy', 'Music', 'Romance']",['RKO Radio Pictures'],3
False,1950000,12311,tt0026752,en,Mutiny on the Bounty,"Fletcher Christian successfully leads a revolt against the ruthless Captain Bligh on the HMS Bounty. However, Bligh returns one year later, hell bent on avenging his captors.",7.135215,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1935-11-08,4460000.0,132.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hu', 'name': 'Magyar'}, {'iso_639_1': 'ty', 'name': ''}]",Released,Mutiny on the Bounty,False,7.1,72.0,1935.0,1.2871794871794873,"['Adventure', 'Drama', 'History', 'Romance']",['Metro-Goldwyn-Mayer (MGM)'],4
False,100000,37833,tt0028346,en,Reefer Madness,"High-school principal Dr. Alfred Carroll (Josef Forte) relates to an audience of parents that marijuana can have devastating effects on teens. In his story, a drug supplier entices several restless teens, including sister and brother Mary (Dorothy Short) and Jimmy Lane (Warren McCollum) and Mary's boyfriend, Bill (Kenneth Craig), into frequenting a ""reefer"" house. Gradually, Bill and Jimmy are drawn into smoking dope, which affects their family lives and leads to a terrible crime.",1.602866,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1936-01-15,0.0,66.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Reefer Madness,False,4.1,31.0,1936.0,-1.0,"['Comedy', 'Drama']",['George A. Hirliman Productions'],2
False,1,3082,tt0027977,en,Modern Times,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,8.159556,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1936-02-05,8500000.0,87.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Modern Times,False,8.1,881.0,1936.0,8499999.0,"['Drama', 'Comedy']","['United Artists', 'Charles Chaplin Productions']",2
False,886000,20325,tt0028333,en,Swing Time,"Lucky is tricked into missing his wedding to Margaret by the other members of Pop's magic and dance act, and has to make $25000 to be allowed to marry her. He and Pop go to New York where they run into Penny, a dancing instructor. She and Lucky form a successful dance partnership, but romance is blighted (till the end of the film at least!) by his old attachment to Margaret and hers for Ricardo, the band leader who won't play for them to dance together.",6.5075970000000005,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1936-08-27,2600000.0,103.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Swing Time,False,7.1,47.0,1936.0,1.9345372460496615,"['Comedy', 'Music', 'Romance']",['RKO Radio Pictures'],3
False,1645000,16515,tt0028691,en,Captains Courageous,"Harvey, the arrogant and spoiled son of an indulgent absentee-father, falls overboard from a transatlantic steamship and is rescued by a fishing vessel on the Grand Banks. Harvey fails to persuade them to take him ashore, nor convince the crew of his wealth. The captain offers him a low-paid job, until they return to port, as part of the crew that turns him into a mature, considerate young man.",2.883201,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1937-06-25,0.0,115.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pt', 'name': 'Português'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,Captains Courageous,False,6.7,35.0,1937.0,-1.0,"['Adventure', 'Drama', 'Family']",['Metro-Goldwyn-Mayer (MGM)'],3
False,4000000,3598,tt0029162,en,Lost Horizon,"British diplomat Robert Conway and a small group of civilians crash land in the Himalayas, and are rescued by the people of the mysterious, Eden-like valley of Shangri-la. Protected by the mountains from the world outside, where the clouds of World War II are gathering, Shangri-la provides a seductive escape for the world-weary Conway.",3.166544,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1937-09-01,0.0,97.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'zh', 'name': '普通话'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,Lost Horizon,False,6.8,42.0,1937.0,-1.0,"['Adventure', 'Fantasy', 'Drama', 'Mystery']",['Columbia Pictures Corporation'],4
False,1488423,408,tt0029583,en,Snow White and the Seven Dwarfs,"A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own.",16.263878,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1937-12-20,184925486.0,83.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Snow White and the Seven Dwarfs,False,6.9,1973.0,1937.0,123.24256142239135,"['Fantasy', 'Animation', 'Family']",['Walt Disney Productions'],3
False,1073000,900,tt0029947,en,Bringing Up Baby,"David Huxley is waiting to get a bone he needs for his museum collection. Through a series of strange circumstances, he meets Susan Vance, and the duo have a series of misadventures which include a leopard called Baby.",6.60577,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1938-02-18,0.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Bringing Up Baby,False,7.6,201.0,1938.0,-1.0,"['Comedy', 'Romance']",['RKO Radio Pictures'],2
False,1250000,1976,tt0030287,en,Jezebel,"In 1850s Louisiana, the willfulness of a tempestuous Southern belle threatens to destroy all who care for her.",11.277226,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1938-03-19,0.0,103.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,Jezebel,False,7.2,39.0,1938.0,-1.0,"['Drama', 'Romance']",['Warner Bros.'],2
False,2033000,10907,tt0029843,en,The Adventures of Robin Hood,Robin Hood (Errol Flynn) fights nobly for justice against the evil Sir Guy of Gisbourne (Basil Rathbone) while striving to win the hand of the beautiful Maid Marian (Olivia de Havilland).,10.685036,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1938-05-13,3981000.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Adventures of Robin Hood,False,7.6,170.0,1938.0,0.9581898671913428,"['Action', 'Adventure', 'Romance']",['Warner Bros.'],3
False,1644736,34106,tt0030993,en,You Can't Take It With You,"Alice, the only relatively normal member of the eccentric Sycamore family, falls in love with Tony Kirby. His wealthy banker father, Anthony P. Kirby, and his snobbish mother, strongly disapprove of the match. When the Kirbys are invited to dinner to become better acquainted with their future in-laws, things do not turn out the way Alice had hoped.",4.370592,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1938-08-23,7433101.0,126.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,You Can't Take It With You,False,7.2,79.0,1938.0,3.5193277218957935,"['Comedy', 'Romance']",['Columbia Pictures'],2
False,531374,995,tt0031971,en,Stagecoach,"A simple stagecoach trip is complicated by the fact that Geronimo is on the warpath in the area. The passengers on the coach include a drunken doctor, two women, a bank manager who has taken off with his client's money, and the famous Ringo Kid, among others.",7.970461999999999,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1939-03-02,1103757.0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Stagecoach,False,7.6,216.0,1939.0,1.077175398118839,"['Adventure', 'Western']",['United Artists'],2
False,8847685,776,tt0031885,fr,La Règle du jeu,"Considered one of the greatest films ever made, The Rules of the Game, by Jean Renoir, is a scathing critique of corrupt French society cloaked in a comedy of manners in which a weekend at a marquis’ country château lays bare some ugly truths about a group of haut bourgeois acquaintances. The film has had a tumultuous history: it was subjected to cuts after the violent response of the premiere audience in 1939, and the original negative was destroyed during World War II; it wasn’t reconstructed until 1959.",5.568997,"[{'iso_3166_1': 'FR', 'name': 'France'}]",1939-06-08,0.0,110.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,The Rules of the Game,False,7.7,109.0,1939.0,-1.0,"['Drama', 'Comedy', 'Romance']",['La Nouvelle Edition Francaise'],3
False,2777000,630,tt0032138,en,The Wizard of Oz,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",22.064932,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1939-08-15,33754967.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Wizard of Oz,False,7.4,1689.0,1939.0,11.15519157364062,"['Adventure', 'Family', 'Fantasy']","[""Loew's Incorporated""]",3
False,1365000,1859,tt0031725,en,Ninotchka,A stern Russian woman sent to Paris on official business finds herself attracted to a man who represents everything she is supposed to detest.,5.120036,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1939-10-06,2279000.0,110.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Ninotchka,False,7.3,77.0,1939.0,0.6695970695970695,"['Comedy', 'Romance']",['Metro-Goldwyn-Mayer (MGM)'],2
False,1500000,3083,tt0031679,en,Mr. Smith Goes to Washington,"Naive and idealistic Jefferson Smith, leader of the Boy Rangers, is appointed on a lark by the spineless governor of his state. He is reunited with the state's senior senator--presidential hopeful and childhood hero, Senator Joseph Paine. In Washington, however, Smith discovers many of the shortcomings of the political process as his earnest goal of a national boys' camp leads to a conflict with the state political boss, Jim Taylor. Taylor first tries to corrupt Smith and then later attempts to destroy Smith through a scandal.",8.168694,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1939-10-19,9600000.0,129.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Mr. Smith Goes to Washington,False,7.9,245.0,1939.0,5.4,"['Comedy', 'Drama']",['Columbia Pictures'],2
False,4000000,770,tt0031381,en,Gone with the Wind,An American classic in which a manipulative woman and a roguish man carry on a turbulent love affair in the American south during the Civil War and Reconstruction.,14.240357,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1939-12-15,400176459.0,238.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Gone with the Wind,False,7.7,995.0,1939.0,99.04411475,"['Drama', 'Romance', 'War']","['Selznick International Pictures', 'Metro-Goldwyn-Mayer (MGM)']",3
